0,149,ok
150,137,ok
288,144,ok
432,144,ok
576,149,ok
726,141,ok
868,139,ok
1007,136,ok
1144,136,ok
1281,135,ok
1417,145,ok
1562,135,ok
1698,132,ok
1831,129,ok
1960,129,ok
2090,135,ok
2226,135,ok
2362,145,ok
2507,185,ok
2693,153,ok
2847,137,ok
2985,136,ok
3121,133,ok
3255,132,ok
3388,132,ok
3520,139,ok
3659,129,ok
3789,130,ok
3920,132,ok
4053,131,ok
4185,133,ok
4319,137,ok
4456,133,ok
4589,130,ok
4720,130,ok
4851,130,ok
4981,129,ok
5111,129,ok
5241,129,ok
5370,129,ok
5500,129,ok
5630,131,ok
5761,129,ok
5891,128,ok
6020,134,ok
6155,129,ok
6285,131,ok
6416,129,ok
6545,130,ok
6676,129,ok
6805,130,ok
6936,129,ok
7065,129,ok
7195,129,ok
7325,136,ok
7462,137,ok
7600,130,ok
7731,128,ok
7860,130,ok
7991,128,ok
8120,129,ok
8250,129,ok
8379,131,ok
8511,129,ok
8640,128,ok
8769,130,ok
8900,129,ok
9030,132,ok
9162,132,ok
9295,129,ok
9425,130,ok
9555,130,ok
9686,128,ok
9815,128,ok
9944,130,ok
10075,132,ok
10207,135,ok
10343,131,ok
10475,130,ok
10605,129,ok
10735,131,ok
10866,128,ok
10995,128,ok
11124,131,ok
11255,129,ok
11385,134,ok
11520,133,ok
11654,130,ok
11785,130,ok
11916,129,ok
12045,129,ok
12175,129,ok
12305,129,ok
12434,131,ok
12566,128,ok
12695,130,ok
12825,129,ok
12955,130,ok
13085,129,ok
13215,130,ok
13346,129,ok
13475,129,ok
13605,133,ok
13738,131,ok
13870,129,ok
14000,129,ok
14130,130,ok
14261,130,ok
14391,128,ok
14520,129,ok
14650,128,ok
14779,131,ok
14911,129,ok
15040,130,ok
15171,131,ok
15302,139,ok
15441,128,ok
15570,129,ok
15699,134,ok
15834,131,ok
15966,131,ok
16097,133,ok
16230,129,ok
16360,130,ok
16491,129,ok
16620,129,ok
16749,129,ok
16879,130,ok
17010,129,ok
17140,128,ok
17269,131,ok
17400,129,ok
17530,130,ok
17661,128,ok
17790,131,ok
17922,132,ok
18055,130,ok
18185,137,ok
18322,131,ok
18454,131,ok
18586,129,ok
18716,128,ok
18845,129,ok
18974,130,ok
19105,130,ok
19235,130,ok
19366,128,ok
19495,128,ok
19624,7822,ok
27446,133,ok
27580,130,ok
27710,129,ok
27840,130,ok
27971,129,ok
28100,129,ok
28230,129,ok
28360,129,ok
28489,130,ok
28620,130,ok
28750,128,ok
28880,130,ok
29011,133,ok
29145,130,ok
29275,129,ok
29404,130,ok
29535,128,ok
29663,132,ok
29796,130,ok
29926,129,ok
30055,129,ok
30185,132,ok
30317,133,ok
30451,128,ok
30580,129,ok
30709,129,ok
30839,131,ok
30970,129,ok
31100,128,ok
