0,172,ok
173,135,ok
308,122,ok
430,143,ok
574,154,ok
729,134,ok
864,149,ok
1013,146,ok
1160,146,ok
1307,188,ok
1496,146,ok
1642,140,ok
1782,148,ok
1931,148,ok
2080,144,ok
2225,144,ok
2369,144,ok
2514,146,ok
2660,142,ok
2804,146,ok
2950,143,ok
3094,145,ok
3240,143,ok
3383,149,ok
3533,140,ok
3674,145,ok
3820,143,ok
3964,144,ok
4109,145,ok
4254,145,ok
4399,144,ok
4544,143,ok
4687,142,ok
4830,143,ok
4973,144,ok
5118,144,ok
5263,146,ok
5410,139,ok
5549,145,ok
5695,141,ok
5837,143,ok
5980,650,ok
6631,175,ok
6807,143,ok
6951,142,ok
7094,144,ok
7238,147,ok
7386,142,ok
7529,144,ok
7674,146,ok
7820,138,ok
7959,145,ok
8105,143,ok
8248,146,ok
8395,143,ok
8539,146,ok
8685,143,ok
8829,144,ok
8973,139,ok
9114,146,ok
9260,138,ok
9399,146,ok
9546,144,ok
9690,138,ok
9829,145,ok
9974,144,ok
10118,141,ok
10260,138,ok
10398,147,ok
10546,143,ok
10689,144,ok
10834,144,ok
10978,140,ok
11119,139,ok
11259,144,ok
11404,140,ok
11545,144,ok
11689,144,ok
11833,140,ok
11973,146,ok
12120,143,ok
12264,141,ok
12406,132,ok
12539,145,ok
12684,144,ok
12828,145,ok
12974,140,ok
13114,134,ok
13248,141,ok
13390,134,ok
13524,144,ok
13669,144,ok
13814,145,ok
13959,139,ok
14099,145,ok
14244,139,ok
14384,145,ok
14529,144,ok
14674,147,ok
14821,142,ok
14964,144,ok
15108,146,ok
15255,143,ok
15399,144,ok
15543,144,ok
15688,146,ok
15835,143,ok
15978,146,ok
16125,144,ok
16269,144,ok
16413,140,ok
16554,144,ok
16699,144,ok
16844,144,ok
16988,146,ok
17135,143,ok
17278,144,ok
17423,146,ok
17570,139,ok
17709,138,ok
17849,141,ok
17990,138,ok
18129,146,ok
18276,138,ok
18414,140,ok
18554,134,ok
18689,144,ok
18834,142,ok
18976,137,ok
19114,134,ok
19249,144,ok
19394,140,ok
19534,144,ok
19679,135,ok
19814,145,ok
19960,139,ok
20099,139,ok
20239,134,ok
20374,139,ok
20514,139,ok
20653,140,ok
20794,134,ok
20929,145,ok
21074,139,ok
21214,139,ok
21353,140,ok
21494,144,ok
21639,138,ok
21779,139,ok
21918,136,ok
22054,138,ok
22194,140,ok
22334,134,ok
22468,141,ok
22610,138,ok
22748,144,ok
22893,140,ok
23034,136,ok
23170,138,ok
